V1	V2	V3	V4	V5	V6
1.49940052045052	1.40040808470258	-1.21003682946691	-1.05084379525962	-0.597010478824486	0.0971489939584549
-0.372465239069927	-0.415791170784753	0.234320567426104	0.354905783235437	0.495986272480639	1.21490181140603
0.741891581118106	0.631824976274016	0.530346787626303	0.699946753011017	0.979502527068886	1.69210573120227
-0.284289194264788	-0.452012595044462	0.216403384641938	0.42761324930299	0.238821019655914	0.934566339133556
0.232954395079071	0.0543183112884529	-0.669648757772293	-0.459385061281854	-0.565101933731753	0.0547377316015564
-0.769162073722119	-0.797430993757499	0.589971638226567	0.706855339764481	1.88133821090887	2.66598844957429
0.594061249577273	0.538456973715428	0.858979272939563	0.990408613055636	1.08007576961534	1.81458654141072
0.244699046250194	0.0970994390335015	0.030621624170235	0.211889837552085	0.667447228465738	1.2410479125224
0.261901107215052	0.188682971662456	0.575610800003484	0.721033166991361	1.30439788173488	2.04591897578914
0.417215464567668	0.207088904558304	0.448053603645752	0.671122194117474	0.9937149315336	1.52213758982352
-0.800049852963367	-0.921188678189133	1.35175806879714	1.52508736516557	1.46440365017031	2.13813161854218
0.625386689679898	0.454766402495868	0.164706816507874	0.363890933185957	-0.295775381296595	0.281037832024292
1.09181775363834	1.06805028169557	0.950628234004835	1.06951875830764	2.27900038278502	3.10789019307425
0.386785543605956	0.270231457798423	0.51113523135064	0.670502518151448	1.072952098376	1.65556838160099
0.964845878141331	0.869839025973591	-0.766636074943505	-0.606653882469207	0.350732823806951	1.07747688648106
1.27931350814308	1.16923496875079	0.573250606584746	0.738890709582178	0.918099410081166	1.59474154048574
-0.41170730606302	-0.465270830314606	1.31959098684914	1.45141396419798	3.00154759900349	3.7532249040938
1.24975084514154	1.14477651872525	-0.855341207678625	-0.685900830547615	0.466470770282303	1.208706300105
-0.431586048612035	-0.437932304738147	1.12328105474681	1.22497252167847	1.32163739945891	2.1155463280597
0.369116046711677	0.28944653281092	0.655700184371236	0.802273833982195	-0.182361827335561	0.526872631622879
-0.186184194556732	-0.282358312391162	0.792797146305876	0.958285661576934	-0.542560080290136	0.220185110401707
1.2856292852212	1.31611422099697	0.787500354509107	0.868849225237413	0.825351577469276	1.68290258913665
-0.954501316771176	-1.02322950578686	-0.28709629186047	-0.147089724977529	0.593010615054013	1.31491281041948
-1.06271846256332	-1.26190829708899	0.321548916777507	0.542914855195544	1.12405665122827	1.70804958463363
-0.155495902055623	-0.296622080753796	-0.114709274082771	0.0739709432850945	-0.43573236005792	0.240602184553419
0.750225304827097	0.650998131466549	0.361724736685487	0.519279511495189	1.20006046042014	1.87953586279433
-0.749471026360013	-0.930384605668534	0.960554626848704	1.16337685493292	0.52670618730971	1.06971224601014
-0.325445471119513	-0.466634838097446	0.904113699648306	1.09575492141901	0.75500143971013	1.45355925232017
-0.0480882981745683	-0.0813789572699254	0.378557286457513	0.505161432190431	1.53368796931019	2.36818333019133
0.442625193703109	0.328593954037785	0.419090865025939	0.584988956810808	-0.403239241827612	0.250417740001743
1.3438628334795	1.30708383169996	0.392785928908193	0.515126763637711	3.08601336393352	3.86317258268178
-0.384414857103833	-0.445417856408292	-0.445380459121067	-0.312903331923258	-1.25425957145121	-0.545279029277333
0.153312498225328	-0.0109562803711434	-0.317003733973209	-0.123235820620563	0.936310397460269	1.50743181677819
0.570331955343766	0.511856492940993	0.993170490169909	1.13110384042023	0.0159329421239526	0.787517372980028
0.670586200491618	0.56501628372018	0.91636285488585	1.07585079947837	0.394535711815016	1.04924978181247
0.592925278833811	0.482831384353122	0.37787438350747	0.550389166421663	0.201182573428506	0.936768111320717
-0.924163642924756	-1.10540653833909	-0.217041340047068	-0.0106386381168723	-0.605729152980091	-0.0341666373169014
0.677683645752087	0.601629811036673	0.713129613161313	0.854330199064897	1.02021884544099	1.70830841778116
1.04827799498438	0.92760032688331	0.607135347067832	0.776241313339682	1.58431255572957	2.22616032891238
-0.55588225629566	-0.687996589098432	-1.11308420831091	-0.933000585880997	-0.363039606570497	0.297081981479389
1.41471811218082	1.26336541977975	0.740338735839135	0.932491549717371	1.65978234495396	2.30032405422682
1.05828765476782	1.02857255230924	0.433351880967634	0.542175074082057	0.933551365858362	1.64110026081066
0.328632069373033	0.195406524640585	0.576386976448873	0.757939701174746	1.43574674027504	2.1007923623785
-1.03098299593118	-1.16468793441126	0.0145568223309987	0.194461572186909	0.16030389378313	0.81022656565479
0.893282434818404	0.804859720751654	-0.444605105758516	-0.291521209808157	0.400564561331523	1.11006942441363
0.216121146358252	0.0850304619988467	-0.58809946920209	-0.409087864069509	-0.687979786896511	-0.0295713450476596
-0.58064999021391	-0.655770691022419	-0.0620417929783822	0.0838924892879468	0.183892668059968	0.915043603435229
0.839541843223529	0.743021861209923	0.159214238727064	0.321835222303946	-0.0920235333876643	0.646497504658701
-0.0610392180536945	-0.0564667408184651	0.557740365035578	0.65891563760735	-0.150874452931037	0.70746587110755
1.40014306079071	1.32180233689299	0.456052157176141	0.598027919801471	0.302012512272814	0.980080264764742
0.920197897031356	0.738758038978117	0.320912425530784	0.532787936692307	1.03804283494487	1.6536573775286
0.926698253685539	0.816040507592823	0.703262974252553	0.875955485175338	0.612911319532795	1.34731965630487
-1.23504172875606	-1.41060050523591	-0.63944559292583	-0.435094023365037	-1.11447995832956	-0.523985426467496
-0.385380583887134	-0.461343960115327	0.71119289998407	0.86072306891323	0.438178651149946	1.19602378419337
0.830815877739037	0.715421246419165	0.409135340453756	0.570983027087641	1.09034415882455	1.70486921227153
-0.159581736200653	-0.283104307202271	-0.644726533043319	-0.469488390069149	-0.874210425541279	-0.201096287833206
0.667039831384189	0.597360735104645	0.421251202052639	0.565709306296072	2.81439158817627	3.56960974766823
